region code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
1,16,"Теучежское межрайонное отделение судебных приставов","385200, Теучежский район, Республика Адыгея, аул. Понежукай, ул. Комсомольская, 27","Хут Нурдин","8(87772) 9-76-23","8(87772) 9-76-23",+7(87772)9-76-23,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",79633430
1,25,"Отделение специального назначения","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Хабаху Мугдин Батырбиевич","8(8772) 56-89-66",,,+78772569626,-,79701000
1,17,"Кошехабльское районное отделение судебных приставов","385400, Кошехабльский район, Республика Адыгея, аул. Кошехабль, ул. Джаримова, 7","Ханахок Заур Хазраилович","8(87770) 9-13-49","8(87770) 9-13-49",+7(87770)9-13-49,+78772569626,"Вт с 09.00 до 15.00, Чт с 14.00 до 18.00",79615420
1,18,"Гиагинское районное отделение судебных приставов","385600, Гиагинский район, Республика Адыгея, ст. Гиагинская, ул. Советская, 26","Тат Александр Евгеньевич","8(87779) 9-19-96","8(87779) 9-19-96",+7(87779)9-19-96,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00.",79605407
1,19,"Красногвардейское районное отделение судебных приставов","385300, Красногвардейский район, Республика Адыгея, с. Красногвардейское, ул. 50 лет Октября, 16","Акопян Шираз Арамович","8(87778) 5-22-30","8(87778) 5-22-30",+7(87778)5-22-30,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",79618420
1,20,"Тахтамукайское районное отделение судебных приставов","385100, Россия, Респ. Адыгея, , , аул Тахтамукай, ул. Кузнечная, 2, , ","Шаков Рамазан Русланович","8(87771) 9-42-69","8(87771) 9-42-69",+7(87771)9-42-69,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",79630420
1,21,"Шовгеновское районное отделение судебных приставов","385440, Республика Адыгея, Шовгеновский район, аул. Хакуринохабль, ул. Шовгенова, 14","Беданоков Аскер Гумерович","8(87773) 9-29-50","8(87773) 9-29-50",+7(87773)9-29-50,+78772569626,"Вт с 09.00 до 15.00, Чт с 16.00 до 18.00",79640430
1,23,"Майкопское специализированное отделение по обеспечению установленного порядка деятельности судов","385020, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Татлок Аслан Бадурдинович"," (8772) 568966",,,+78772569626,"понедельник с 9.00 до 18.00",79000000
1,24,"Отделение оперативного дежурства","385000, Россия, , , г. Майкоп, , ул. Курганная, 345, , ","Калашаов Аскар Январбиевич","8(8772) 56-89-66",,,+78772569626,-,79701000
2,0,"УФССП России по Республике Башкортостан","450077, г.Уфа, ул.Цюрупы, д.95","Махмутов Ильнур Анварович",+7(347)273-58-05,+7(347)272-18-87,,+73472721646,"В рабочие дни - в четверг с 16.00 час. до 20.00 час. в нерабочие дни - первая су",80701000
2,1,"Демское РОСП Уфы","450024 Г. УФА, УЛ. МУСОРГСКОГО, 19/Б","Христель Елена Вольдемаровна",+7(347)276-62-24,7(347)281-22-78,+7(347)276-62-24,+7(347)276-62-24,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,2,"Калининский РОСП Уфы","450068 Г. УФА, УЛ. ВОЛОГОДСКАЯ, 20/2,","Каюмова Василя Фаритовна",+7(347)272-16-46,"7(347) 263-05-09",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,3,"Кировский РОСП Уфы","450077 Г. УФА, УЛ. ЦЮРУПЫ, 95","Ишмуллин Радмир Искужевич",+7(347)272-16-46,"(347) 276-19-49",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,4,"Ленинское РОСП Уфы","450093 Г.УФА, УЛ. ГАФУРИ, 6","Гайнетдинов Руслан Фавадисович",+7(347)272-16-46,"8 (347) 251-16-19",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,5,"Октябрьский РОСП Уфы","450077 Г. УФА, УЛ. ЦЮРУПЫ, 95","Хафизов Ислам Исмагилович",+7(347)272-16-46,"(347) 272-60-06",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,6,"Орджоникидзевский РОСП Уфы","450112 Г. УФА, УЛ. КАЛИНИНА, 33","Валиев Ильшат Радикович",+7(347)272-16-46,"(347) 260-80-71",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,7,"Советский РОСП Уфы","450077 Г. УФА, УЛ. ЦЮРУПЫ, 95","Халилов Алберт Фанильевич",+7(347)272-16-46,"(347) 276-19-86",+7(347)272-16-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,8,"Агидельское ГОСП","452920 Г. АГИДЕЛЬ, УЛ. МИРА, Д. 20","Зарипов Василь Ренатович","8 (34731) 2-83-99","(34731) 2-83-99",+7(34731)2-83-99,+7(34731)2-83-99,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80703000
2,46,"Иглинское РОСП","452410 С. ИГЛИНО, УЛ. ЛЕНИНА, 79","Ибрагимов Фанис Фаритович","(34795) 2-24-40 ","(34795) 2-24-40",+7(34795)2-24-40,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80628416
2,9,"ОСП по г. Кумертау и Куюргазинскому району","453300 Г. КУМЕРТАУ, УЛ. БАБАЕВСКАЯ, Д.20","Биганякова Эльвира Галеевна",+7(347)276-62-24,"(34761) 3-48-35",+7(347)276-62-24,+7(347)276-62-24,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18, Зам. Нач. - среда с 9 до 13, с 14 до 18",80723000
2,10,"Межгорьевское ГОСП","453571 Г. МЕЖГОРЬЕ, УЛ. 40 ЛЕТ ПОБЕДЫ, 60","Чембарская Дина Юрьевна","8 (34781) 2-24-40","(34781) 2-33-47",+7(34781)2-24-40,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80707000
2,11,"Октябрьское ГОСП","452600 РБ Г.ОКТЯБРЬСКИЙ, ПРОЕЗД ОСТРОВСКОГО, 10 А","Каримов Ренат Аксянович","8 (34767) 5-33-62","8 (34767) 5-33-62",+7(34767)5-33-62,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80735000
2,12,"Салаватское ГОСП","453250 Г. САЛАВАТ, УЛ. ХМЕЛЬНИЦКОГО, 21","Багаутдинов Ильдар Саматович",+7(347)276-62-24,"(34763) 5-68-45",+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80739000
2,13,"Сибайское ГОСП","453830 Г. СИБАЙ, УЛ. ЗАКИ ВАЛИДИ, 39","Князев Александр Александрович","8 (34775) 2-27-83","(34775) 2-24-58",+7(34775)2-27-83,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80743000
2,14,"Баймакское МОСП","453630 Г. БАЙМАК, УЛ. ЕСЕНИНА, 13","Идрисов Артур Гильфанович",+7(347)276-62-24,"(34751) 3-14-17",+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80606101
2,15,"Белебеевское МОСП","452000, г.Белебей, ул.Красная, д.109/1","Голубева Екатерина Михайловна",+7(347)276-62-24,"8 (34786) 5-55-12",+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80609101
2,16,"Белорецкое МОСП","453500 Г. БЕЛОРЕЦК, УЛ. К. МАРКСА, 79","Бакеева Лиана Римовна",+7(347)276-62-24,"(34792) 3-33-18",+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80611101
2,17,"Бирское МОСП","452450 Г. БИРСК, УЛ. БАЛЕЗИНА, 24","Газизова Диана Рифовна","8 (34784) 4-61-77","8 (34784) 4-61-77",+7(34784)4-61-77,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80613101
2,18,"Благовещенское МОСП","453430 Г. БЛАГОВЕЩЕНСК, УЛ. СОВЕТСКАЯ, Д.28","Рахимкулова Вера Александровна","8 (34766) 2-22-41","8 (34766) 2-22-41",+7(34766)2-14-34,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80615101
2,19,"Давлекановское МОСП","453400, г.Давлеканово, ул.К.Маркса, д.39","Прошин Юрий Александрович","8 (34768) 3-10-02","(34768) 3-02-21",+7(34768)3-10-02,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80622101
2,20,"Дюртюлинское МОСП","452320, г.Дюртюли, пер.Марии Якутовой, д.9","Гайнетдинов Салават Ханафиевич","8 (34787) 3-20-65","(34787) 3-20-54",+7(34787)3-20-65,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80624101
2,21,"Ишимбайское МОСП","453200 Г. ИШИМБАЙ, УЛ. СТАХАНОВСКАЯ, Д.63","Таратунина Юлия Александровна","8 (34794) 4-23-85","(34794) 4-23-85",+7(34794)4-23-85,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80631101
2,22,"Мелеузовское МОСП","453850 Г. МЕЛЕУЗ, УЛ. ВОРОВСКОГО,10","Ахметдинов Азат Маратович",+7(347)276-62-24,"(34764) 3-20-33",+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80641101
2,23,"Нефтекамское МОСП","452680 Г. НЕФТЕКАМСК, УЛ. НЕФТЯНИКОВ, 25 «А»","Насыров Рустам Юнерович","8 (34783) 4-52-65","(34783) 4-68-51",+7(34783)4-52-65,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80727000
2,24,"Стерлитамакский ГОСП","453103, г.Стерлитамак, ул.Дружбы, д.3","Черномырдин Евгений Алексеевич",+7(3473)20-88-78,"(3473) 20-63-73",+7(3473)20-88-78,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80745000
2,25,"Туймазинское МОСП","452750 Г. ТУЙМАЗЫ, УЛ. ГАГАРИНА, 38","Латыпова Ирина Зуфаровна",+7(347)276-62-24,"(34782) 7-13-61",+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80651101
2,26,"Учалинское МОСП","453700 Г. УЧАЛЫ, УЛ. КАРЛА МАРКСА,Д.1","Алтынбаева Гузель Зинуровна",+7(347)276-62-24,"(34791) 6-26-97",+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80653101
2,27,"Янаульское МОСП","452800, Россия, Респ. Башкортостан, , г. Янаул, , ул. Советская, д. 21, , ","Гилязев Алмаз Зифатович","8 (34760) 5-50-85","(34760) 5-50-85",+7(34760)5-50-85,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80659101
4,16,"Отделение специального назначения",,"Крыжний Валентин Петрович","(38822) 49696",,,+7(3882)24-96-96,,84000000
2,28,"Абзелиловское РОСП","453620 С. АСКАРОВО, УЛ. КОММУНИСТИЧЕСКАЯ, 8 А","Хасанова Айгуль Ирековна","8 (34772) 2-04-51","(34772) 2-04-51",+7(34772)2-04-51,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80601410
2,29,"Альшеевское РОСП"," 452120, Россия, Республика Башкортостан, Альшеевский район, , с. Раевка, Ленина, 90, , ","Хабибуллин Денис Рифатович","8 (34754) 3-07-91","(34754) 3-01-53 ",+7(34754)3-07-91,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80602451
2,30,"Архангельское РОСП","453030, Россия, Респ. Башкортостан, Архангельский р-н, Архангельский с/с, , ул. Ленина, д. 8, , ","Бардуков Сергей Александрович","8 (34774) 2-11-71","(34774) 2-11-71",+7(34774)2-11-71,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80603410
2,31,"Аскинское РОСП","452880 С. АСКИНО, УЛ. СОВЕТСКАЯ, 5","Гареева Венера Наильевна","8 (34771) 2-19-46","(34771) 2-19-46 ",+7(34771)2-19-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80604404
2,32,"Аургазинское РОСП","453480, с.Толбазы, ул.Ленина, д.109","Баязитов Эдуард Рамилевич","(34745) 2-11-34","(34745) 2-11-34 ",+7(34745)2-11-34,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80605446
2,33,"Бакалинское РОСП","452650 С. БАКАЛЫ, УЛ. ЛЕНИНА, 110","Данилов Олег Анатольевич","8 (34742) 3-26-56","(34742) 2-26-56",+7(34742)3-26-56,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80607407
2,34,"Балтачевское РОСП","452980 С. СТАРО БАЛТАЧЕВО, УЛ. СОВЕТСКАЯ, 31","Ахкамов Алмаз Рафхатович","8 (34753) 2-21-88","(34753) 2-19-94",+7(34753)2-21-88,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80608431
2,35,"Белокатайское РОСП","452580 С. НОВОБЕЛОКАТАЙ, УЛ. СОВЕТСКАЯ, 107","Амирханова Ильвира Рауфатовна","8 (34750) 2-10-98","(34750) 2-24-35",+7(34750)2-10-98,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80610422
2,36,"Бижбулякское РОСП","452040, Россия, Республика Башкортостан, Бижбулякский район, ,  село Бижбуляк, ул. Советская, д. 29, , ","Харрасов Гамиль Галиевич","8 (34743) 2-11-79","(34743) 2-28-29 ",+7(34743)2-11-79,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80612410
2,37,"Благоварское РОСП","452740, Россия, Респ. Башкортостан, Благоварский р-н, , с. Языково, ул. Ленина, д. 12, , ","Гизетдинов Руслан Маратович","8 (34747) 2-20-44","(34747) 2-25-80",+7(34747)2-20-44,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80614437
2,38,"Буздякское РОСП","452710 С. БУЗДЯК, УЛ. ГАГАРИНА, 8/1","Рахимкулова Айгуль Зуфаровна","8 (34773) 3-36-22","(273) 3-36-22",+7(34773)3-36-22,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80617407
2,39,"Бураевское РОСП","452960 С. БУРАЕВО, УЛ. ЛЕНИНА, 74","Зайруллина Валерия Евгеньевна","(34756) 2-17-74 ","(34756) 2-17-74",+7(34756)2-17-74,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80618413
2,40,"Бурзянское РОСП","453580, Россия, Респ. Башкортостан, , , с. Старосубхангулово, ул. Уральская, 3, , ","Санчаева Ляйсан Канзафаровна","8 (34755) 3-63-55","(34755) 3-63-55",+7(34755)3-63-55,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80619425
2,41,"Гафурийское РОСП","453050, с.Красноусольск, ул.Коммунистическая, д.18",,"8 (34740) 2-13-57","(34740) 2-13-57 ",+7(34740)2-13-57,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80621423
2,42,"ОСП по Дуванскому и Кигинскому районам","452530, с.Месягутово, ул.И.Усова, д.18",,"8 (34798) 3-20-25","(34798) 3-20-25 ",+7(34798)3-20-15,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80623422
2,43,"Ермекеевское РОСП","452190 С. ЕРМЕКЕЕВО, УЛ. ЛЕНИНА, 7","Гумерова Альбина Шамиловна","8 (34741) 2-22-24","(34741)2-22-24 ",+7(34741)2-22-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80625407
2,44,"Зианчуринское РОСП","453380, , Республика Башкортостан, , , с. Исянгулово, Переулок Блюхера, 9, , ","Ахметов Руслан Махмутович","8 (34785) 2-13-69","(34785) 2-13-69",+7(34785)2-13-69,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80626416
2,45,"Зилаирское РОСП","453680 С. ЗИЛАИР, УЛ. ЛЕНИНА, 113","Халитова Эльвина Рузильевна","8 (34752) 2-12-43","(34752) 2-21-02",+7(34752)2-12-43,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80627416
2,47,"Илишевское РОСП","452260, РБ, ИЛИШЕВСКИЙ РАЙОН,С. ВЕРХНЕЯРКЕЕВО, УЛ. СОВЕТСКАЯ, 37","Назаров Кавказ Альярович","8 (34762) 5-19-92","(34762) 5-19-92",+7(34762)5-19-92,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80630484
2,48,"Калтасинское РОСП","452860, Россия, Респ. Башкортостан, , , с. Калтасы, ул. К.Маркса, д. 59, , ","Хизбуллин Руслан Флоритович","8 (34779) 4-19-81","(34779) 4-19-81",+7(34779)4-19-81,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80633425
2,49,"Караидельское РОСП","452360 С. КАРАИДЕЛЬ, УЛ. КАЛИНИНА, 4","Якупов Салават Ахметкамалович","8 (34744) 2-10-91","(34744) 2-10-91",+7(34744)2-10-91,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80634432
2,50,"Кармаскалинское РОСП","453020,  с.Кармаскалы, ул.Гафури,  д.22/2","Шарипкулова Нурзиля Нурфаязовна","(34765) 2-26-80","(34765) 2-26-80",+7(34765)2-26-80,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80635435
2,52,"Кугарчинское РОСП","453331, Россия, Респ. Башкортостан, Кугарчинский р-н, , с. Мраково, ул. Ленина, д. 17, , ","Исмагилов Фидан Лукманович","8 (34789) 2-20-98","(34789) 2-20-93 ",+7(34789)2-20-98,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80638450
2,53,"Кушнаренковское РОСП","452230, Россия, Респ. Башкортостан, , , с. Кушнаренково, ул. Рабочая, 1, , ","Гилязев Адип Ахняфович","8 (34780) 5-80-34","(34780) 5-73-09 ",+7(34780)5-80-34,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80640435
2,55,"Мечетлинское РОСП","452550 С. БОЛЬШЕУСТИКИНСКОЕ, УЛ. СОВЕТСКАЯ, 25","Шаяхметов Ильдар Ракипович","8 (34770) 2-02-82","(34770) 2-02-82",+7(34770)2-02-82,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80642415
2,56,"Мишкинское РОСП",", , Республика Башкортостан, Мишкинский район, , с. Мишкино, ул. Мира, 6, , ","Ахметова Виктория Аликовна","(34749) 2-12-27","(34749) 2-12-27",+7(34749)2-12-27,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80643450
2,57,"Миякинское РОСП","452080 С. КИРГИЗ - МИЯКИ, УЛ. ГУБАЙДУЛЛИНА, 108","Вильданова Олеся Андреевна","8 (34788) 2-22-62","(34788) 2-22-62 ",+7(34788)2-22-62,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80644450
2,58,"Нуримановское РОСП","452440 С. КРАСНАЯ ГОРКА, УЛ. ПИОНЕРСКАЯ, 8","Говорко Антон Викторович","8 (34776) 2-29-74","(34776) 2-29-74",+7(34776)2-29-74,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80645415
2,59,"Салаватское РОСП",", , Республика Башкортостан, Саловатский район, , с. Малояз, ул. Советская, 63, , ","Зарафутдинова Миляуша Идрисовна","8 (34777) 2-14-82","(34777) 2-14-82",+7(34777)2-14-82,+73472721646," Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80647453
2,60,"Стерлибашевское РОСП","453180, с.Стерлибашево, ул.К.Маркса, д.91","Аминов Урал Минихазиевич","8 (34739) 2-21-79","(34739) 2-21-79",+7(34739)2-21-79,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80648445
2,61,"Татышлинское РОСП","452830, , Республика Башкортостан, , , село Татышлы, Ленина, 79, , ","Салимов Ильнур Минисламович","8 (34739) 2-21-79","(34778) 2-14-86",+7(34778)2-21-79,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80650425
2,62,"Уфимское РОСП","450024, г.Уфа, ул.Мусоргского, д.19/б","Янчурин Раиль Рамилевич",+7(347)276-62-24,(347)227-65-13,+7(347)276-62-24,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80701000
2,63,"Федоровское РОСП","453280 С.ФЕДОРОВКА, УЛ.ЛЕНИНА, 44","Камышлов Сергей Дмитриевич","8 (34746) 2-73-05","(34746) 2-73-05",+7(34746)3-73-05,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80654460
2,64,"Хайбуллинское РОСП","453800, с.Акъяр, ул.Батанова, д.2","Ильбаков Фаяз Иксанович","8 (34758) 2-21-57","(34758) 2-12-57",+7(34758)2-12-57,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80655415
2,65,"Чекмагушевское РОСП","452200, с.Чекмагушево, ул.Кооперативная, д.61","Ибрагимов Салават Альтафович","8 (34796) 3-22-29","(34796) 3-22-29",+7(34796)3-22-29,+73472721646," Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80656470
2,66,"Чишминское РОСП","452175, Россия, Респ. Башкортостан, Чишминский р-н, Чишминский с/с, , ул. Строительная, д. 24, , ","Зубков Роман Владимирович","8 (34797) 2-33-01","(34797) 2-14-46",+7(34797)2-33-01,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80657151
2,67,"Шаранское РОСП","452630, Россия, Респ. Башкортостан, Шаранский р-н, , Шаран, Центральная, 12, , ","Адеева Эльвира Равилевна","(34769) 2-21-46","(34769) 2-14-46",+7(34769)2-21-46,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80658485
2,72,"Стерлитамакское РОСП","453116, г.Стерлитамак, ул.Элеваторная, д.49","Хасанова Ирина Марсовна","8 (34734) 3-70-36",8(3473)43-70-36,+7(3473)43-70-36,+73472721646,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.",80745000
2,73,ОСН,"450008, Россия, Респ. Башкортостан, , г. Уфа, , ул. Цюрупы, , , ","Хафизов Урал Наилович",,,,+73472721646,,
3,0,"УФССП России по Республике Бурятия","670000, Республика Бурятия, г.Улан-Удэ, ул. Борсоева, д.13Е","Ертанов Петр Викторович","+7 (3012) 28-94-00",+7(3012)28-94-13,,+73012289401,"Пн - Пт с 9:00 до 18:00",81701000
3,1,"Октябрьское РОСП г. Улан-Удэ № 2","670031, Россия, , , г. Улан-Удэ, , ул. Широких-Полянского, д. 7а, , ","Коркина Светлана Сергеевна",+7(3012)555972,+7(3012)289543,+7(3012)28-95-43,+73012289401,"Вт с 9:00 до 13:00, Чт с 13:00 до 18:00",81701000
3,2,"Баргузинское РОСП","671610, Республика Бурятия, Баргузинский р-он, с.Баргузин, ул.Красноармейская, д.45","Очирова Ирина Дамбаевна",+7(30131)42-300,+7(30131)42-323,+7(30131)4-22-83,+73012289401,"Вт с 9:00 до 13:00, Чт с 13:00 до 18:00",81603000
3,3,"Баунтовское РОСП","671510, Россия, Респ. Бурятия, , , с. Багдарин, ул. Ленина, д. 39, , ","Цыбикдоржиева Аюна Жаргаловна",+7(30153)4-10-22,+7(30153)4-10-22,+7(30153)4-10-22,+73012289401,"Вт с 9:00 до 13:00, Чт с 13:00 до 18:00",81606415
