"Full name of the territorial agency","Abbreviated name of the territorial agency","Surname, First name, Patronymic","Post","Description of the functions of territorial agency","Postal address","Working hours","OKTMO","OKATO","OKPO","OGRN","TIN","Telephone number of the inquiries","Telephone number (others)","Fax","URL","E-mail"
"Управление Федеральной службы судебных приставов по Алтайскому краю","УФССП России по Алтайскому краю","Лабутин Дмитрий Николаевич ","Руководитель УФССП России по Алтайскому краю - главный судебный пристав Алтайского края","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","656056, Алтайский край, г. Барнаул, ул.Пушкина, д. 17","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13.45","01701000","01401000000","56004257","1042202282407","2225066621",83852666642,83852248498,83852639606,"https://r22.fssp.gov.ru","mail@r22.fssp.gov.ru"
"Главное Управление Федеральной службы судебных приставов по Краснодарскому краю","ГУФССП России по Краснодарскому краю","Ткаченко Дмитрий Григорьевич ","Руководитель ГУФССП России по Краснодарскому краю - главный судебный пристав Краснодарского края ","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","350063, Краснодарский край, г. Краснодар, ул. Красная, д. 22","Понедельник - пятница с 9.00 до 18.00, перерыв с 13.00 до 14.00","03701000","03401000000","74268385","1042304982499","2309090532",88612622981,88612627412,88612626360,"https://r23.fssp.gov.ru","mail@r23.fssp.gov.ru"
"Главное Управление Федеральной службы судебных приставов по Красноярскому краю","ГУФССП России по Красноярскому краю","Васильев Виталий Сергеевич","Руководитель ГУФССП России по Красноярскому краю - Главный судебный пристав Красноярского края","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","660135, Красноярский край, г. Красноярск, ул. 6-я Полярная, д. 2","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 17.00","04701000",,"74877859","1042402980355","2466124527",,83912220037,83912220186,"https://r24.fssp.gov.ru","mail@r24.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Приморскому краю","УФССП России по Приморскому краю","Протопопова Элеонора Борисовна","Руководитель Управления - главный судебный пристав Приморского края","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","690091, Приморский край, г. Владивосток, ул. Посьетская, д. 48","Понедельник - пятница с 9:00 до 18:00, перерыв с 13:00 до 14:00","05701000","05401000000",,,"2540108500",84232411198,84232411880,84232413409,"https://r25.fssp.gov.ru","mail@r25.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ставропольскому краю","УФССП России по Ставропольскому краю","Захарова Марина Анатольевна","Руководитель УФССП России по Ставропольскому краю - главный судебный пристав Ставропольского края ","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","355017, Ставропольский край, г. Ставрополь, ул. Маршала Жукова, д. 46, ","Понедельник - четверг с 9.00 до 18.00, пятница 9.00 до 16.45, перерыв с 13.00 до 13.45","07701000","07401000000","75050754","1042600340914","2634063910",88652227355,88652241012,88652240688,"https://r26.fssp.gov.ru","mail@r26.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Хабаровскому краю и Еврейской автономной области","УФССП России по Хабаровскому краю и Еврейской автономной области","Касьяненко Анатолий Анатольевич","Руководитель Управления Федеральной службы судебных приставов по Хабаровскому краю и Еврейской автономной области - главного судебного пристава Хабаровского края и Еврейской автономной области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","680000, г. Хабаровск, ул. Карла Маркса, д. 60","Понедельник - пятница c 9:00 до 18:00,  перерыв с 13:00 до 14:00","08701000","08401000000","74564222","1042700170127","2721121647",84212399611,84212399669,84212399627,"https://r27.fssp.gov.ru","mail@r27.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Амурской области","УФССП России по Амурской области","Засядько Светлана Владимировна","Руководитель  Управления Федеральной службы судебных приставов по Амурской области – Главный судебный пристав  Амурской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","675000, г. Благовещенск, пер. Пограничный, д. 10","Понедельник - пятница с 8:00 до 17:00, перерыв с 12:00 до 13:00","10701000","10401000000","70698634","1042800037224","2801100515",84162521011,84162523525,84162521205,"https://r28.fssp.gov.ru","mail@r28.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Архангельской области и Ненецкому автономному округу","УФССП России по Архангельской области и Ненецкому автономному округу","Юшманов Иван Александрович","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","163002, г. Архангельск, пр. Ломоносова, д. 30","Понедельник - четверг с 8.30 до 17.45, пятница с 8.30 до 17.00, перерыв с 12.30 до 13.30 ","11701000","11401000000","75032153","1042900050423","2901280614",88182682080,88182661182,88182683678,"https://r29.fssp.gov.ru","mail@r29.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Астраханской области","УФССП России по Астраханской области","Юдин Александр Викторович","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","414000 г. Астрахань, ул. Никольская, 9 / ул. Ульяновых, 12","Понедельник - пятница с 8:30 до 17:30, перерыв с 12:30 до  13:15","12701000","12401000000","72614601","1043000718210","3015067331",88512441288,88512394309,88512441288,"https://r30.fssp.gov.ru","mail@r30.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Белгородской области","УФССП России по Белгородской области","Казанов Денис Николаевич","Руководитель УФССП России по Белгородской области – главный судебный пристав Белгородской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","308002,  Белгородская область, г. Белгород, Б. Хмельницкого пр-кт, д. 109 ","Понедельник - четверг с 08.30 до 17.30, пятница с 08.30 до 16.15","14000000","14401365000","74414728","1043107047422","3123113698",84722347394,,84722347394,"https://r31.fssp.gov.ru","mail@r31.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Брянской области","УФССП России по Брянской области","Бывшева Елена Федоровна","Руководитель УФССП России по Брянской области - главный судебный пристав Брянской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","241050, г. Брянск, ул. Дуки, д. 59","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 17.00, перерыв с 13.00 до 13.48","15701000","15401000000","71148373","1043244052070","3250057358",84832669222,,84832669223,"https://r32.fssp.gov.ru","mail@r32.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Владимирской области","УФССП России по Владимирской области","Денисенко Наталья Геннадьевна","Руководитель УФССП России по Владимирской области - главный судебный пристав Владимирской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","600017, г. Владимир, ул. Горького, д. 2А","Понедельник - четверг с 08:30 до 17:30, пятница с 08:30 до 16:15, перерыв с 13:00 до 13:45","17737000","17401000000","75632054","1043301819274","3327818953",84922324679,84922422382,84922326951,"https://r33.fssp.gov.ru","mail@r33.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Волгоградской области","УФССП России по Волгоградской области","Евстигнеев Владимир Николаевич","Руководитель Управления - главный судебный пристав","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","400001, г. Волгоград, ул. им. Калинина, д. 4","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 до 16.45","18000000","18401363000","74921158","1043400443041","3445071308",88442973217,88442932040,88442973217,"https://r34.fssp.gov.ru","mail@r34.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Вологодской области","УФССП России по Вологодской области","Салмина Ирина Александровна","Врио руководителя Управления - главного судебного пристава","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","160025, г. Вологда, ул. Петрозаводская, д. 3","Понедельник - четверг с 8.30 до 17.30, пятница с 8.30 до 16.15","19701000","19401000000","00073826","1043500095704","3525144985",88172571644,,88172571610,"https://r35.fssp.gov.ru","mail@r35.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Воронежской области","УФССП России по Воронежской области","Паринов Руслан Николаевич","Руководитель УФССП России по Воронежской области - главный судебный пристав Воронежской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","394006, г. Воронеж, ул. Краснознаменная, д. 2","Понедельник - четверг с 9.00 до 18.00, пятница с 9.00 до 16.45, перерыв с 13.00 до 13.45 ","20000000","20401380000","74348983","1043600196221","3664062377",84732776613,84732699803,84732782488,"https://r36.fssp.gov.ru","mail@r36.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Ивановской области","УФССП России по Ивановской области","Тяпкина Наталья Витальевна","Руководитель Управления - Главный судебный пристав ","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","153000, г. Иваново, ул. Багаева, д. 27","Понедельник - четверг с 09.00 до 18.00, пятница с 09.00 по 16.45","24701000","24401000000","73217799","1043700122454","3702065237",84932326145,84932411644,84932326145,"https://r37.fssp.gov.ru","mail@r37.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Иркутской области","УФССП России по Иркутской области","Токаев Аслан Казбекович","Руководитель УФССП России по Иркутской области - главный судебный пристав Иркутской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","664047, г. Иркутск, ул. Партизанская, д. 79","Понедельник - четверг с 9:00 до 18:00, пятница с 9:00 до 17:00, перерыв с 12:30 до 13:18","25701000","25401000000","00013474","1043801066781","3811085917",83952214303,83952214301,83952215213,"https://r38.fssp.gov.ru","mail@r38.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Калининградской области","УФССП России по Калининградской области","Очкалов Алексей Валерьевич","Врио руководителя Управления - главного судебного пристава","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","236022, г. Калининград, Мира пр-кт, 5-7","Понедельник - пятница с 9:00 до 18:00, перерыв с 13.00 до 13.48","27000000","27401385000","73728407","1043902858790","3906131456",84012935838,,84012935838,"https://r39.fssp.gov.ru","mail@r39.fssp.gov.ru"
"Управление Федеральной службы судебных приставов по Калужской области","УФССП России по Калужской области","Зубов Иван Александрович","Руководитель УФССП России по Калужской области - главный судебный пристав Калужской области","Организация и осуществление принудительного исполнения судебных актов судов общей юрисдикции и арбитражных судов, а также актов других органов и должностных лиц, предусмотренных законодательством Российской Федерации об исполнительном производстве. Обеспечение установленного порядка деятельности судов, охраны зданий и помещений судов, в том числе по решению директора ФССП России - главного судебного пристава Российской Федерации в круглосуточном режиме, а также пропускного режима в зданиях и помещениях судов, находящихся на территории субъекта Российской Федерации. Управление районными, межрайонными и специализированными отделами. Ведение государственного реестра. Осуществление федерального государственного контроля (надзора) за деятельностью юридических лиц, осуществляющих деятельность по возврату просроченной задолженности в качестве основного вида деятельности, включенных в государственный реестр.","248023, г. Калуга, ул. Фридриха Энгельса, д. 25","Понедельник - четверг с 09.00  до 18.15, пятница с 09.00 до 17.00, перерыв с 13.00 до 14.00","29701000","29401000000","75471987","1044004426597","4027066824",84842540887,84842730390,84842733502,"https://r40.fssp.gov.ru","mail@r40.fssp.gov.ru"
