region code,code of the territorial agency,name of the territorial agency,postal address,chief's full name,telephone number,fax,phone of help service,phone of help service 2,working hours of the territorial agency,territory of service
2,1,"Демское РОСП Уфы","450024 Г. УФА, УЛ. МУСОРГСКОГО, 19/Б","Христель Елена Вольдемаровна",7(347)227-00-16,7(347)281-22-78,+7(347)227-00-16,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Демский район г. Уфы Республики Башкортостан"
2,2,"Калининский РОСП Уфы","450068 Г. УФА, УЛ. ВОЛОГОДСКАЯ, 20/2,","Каюмова Василя Фаритовна","7347) 263-05-09","7(347) 263-05-09",+7(347)263-05-09,+7(347)263-05-09,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Калининский район города Уфы Республики Башкортостан"
2,3,"Кировский РОСП Уфы","450077 Г. УФА, УЛ. ЦЮРУПЫ, 95","Ишмуллин Радмир Искужевич","8 (347) 276-19-49","(347) 276-19-49",+7(347)276-19-49,+7(347)272-66-50,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Кировский район городы Уфы Республики Башкортостан"
2,4,"Ленинское РОСП Уфы","450093 Г.УФА, УЛ. ГАФУРИ, 6","Гайнетдинов Руслан Фавадисович","8 (347) 251-16-19","8 (347) 251-16-19",+7(347)251-16-19,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Ленинский район города Уфы Республики Башкортостан"
2,5,"Октябрьский РОСП Уфы","450077 Г. УФА, УЛ. ЦЮРУПЫ, 95","Хафизов Ислам Исмагилович","8 (347) 272-17-51","(347) 272-60-06",+7(347)272-17-51,+7(347)272-17-51,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Октябрьский район города Уфы Республики Башкортостан"
2,6,"Орджоникидзевский РОСП Уфы","450112 Г. УФА, УЛ. КАЛИНИНА, 33","Валиев Ильшат Радикович","8 (347) 242-98-31","(347) 260-80-71",+7(347)242-98-31,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Орджоникидзевский район города Уфы Республики Башкортостан"
2,7,"Советский РОСП Уфы","450077 Г. УФА, УЛ. ЦЮРУПЫ, 95","Халилов Алберт Фанильевич","8 (347) 273-51-31","(347) 276-19-86",+7(347)273-51-31,+7(347)273-51-31,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Советский район города Уфы Республики Башкортостан"
14,923,"Отдельные должности (по мобилизационной подготовке и гражданской обороне)",,,"7 (4112) 22-63-97",,,,,
2,8,"Агидельское ГОСП","452920 Г. АГИДЕЛЬ, УЛ. МИРА, Д. 20","Зарипов Василь Ренатович","8 (34731) 2-83-99","(34731) 2-83-99",+7(34731)2-83-99,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Агидель Республики Башкортостан"
2,9,"ОСП по г. Кумертау и Куюргазинскому району","453300 Г. КУМЕРТАУ, УЛ. БАБАЕВСКАЯ, Д.20","Биганякова Эльвира Галеевна","(34761) 3-48-35 ","(34761) 3-48-35",+7(34761)3-48-35,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18, Зам. Нач. - среда с 9 до 13, с 14 до 18","Город Кумертау и Куюргазинский район Республики Башкортостан"
2,10,"Межгорьевское ГОСП","453571 Г. МЕЖГОРЬЕ, УЛ. 40 ЛЕТ ПОБЕДЫ, 60","Чембарская Дина Юрьевна","8 (34781) 2-24-40","(34781) 2-33-47",+7(34781)2-24-40,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Межгорье Республики Башкортостан"
2,11,"Октябрьское ГОСП","452600 РБ Г.ОКТЯБРЬСКИЙ, ПРОЕЗД ОСТРОВСКОГО, 10 А","Каримов Ренат Аксянович","8 (34767) 5-33-62","8 (34767) 5-33-62",+7(34767)5-33-62,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Октябрьский Республики Башкортостан"
2,12,"Салаватское ГОСП","453250 Г. САЛАВАТ, УЛ. ХМЕЛЬНИЦКОГО, 21","Багаутдинов Ильдар Саматович","8 (34763) 5-51-99","(34763) 5-68-45",+7(34763)5-51-99,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Салават Республики Башкортостан"
2,13,"Сибайское ГОСП","453830 Г. СИБАЙ, УЛ. ЗАКИ ВАЛИДИ, 39","Князев Александр Александрович","8 (34775) 2-27-83","(34775) 2-24-58",+7(34775)2-27-83,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Сибай Республики Башкортостан"
2,14,"Баймакское МОСП","453630 Г. БАЙМАК, УЛ. ЕСЕНИНА, 13","Идрисов Артур Гильфанович","8 (34751) 3-14-17","(34751) 3-14-17",+7(34751)3-14-17,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Баймак и Баймакский район Республики Башкортостан"
14,924,"Отдельные должности (по защите государственной тайны)",,,"7 (4112) 22-63-97",,,,,
2,15,"Белебеевское МОСП","452000, г.Белебей, ул.Красная, д.109/1","Голубева Екатерина Михайловна","8 (34786) 5-55-12","8 (34786) 5-55-12",+7(34786)5-55-05,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Белебей и Белебеевский район Республики Башкортостан"
2,16,"Белорецкое МОСП","453500 Г. БЕЛОРЕЦК, УЛ. К. МАРКСА, 79","Бакеева Лиана Римовна","8 (34792) 3-33-18","(34792) 3-33-18",+7(34792)3-33-18,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Белорецк и Белорецкий район Республики Башкортостан"
2,17,"Бирское МОСП","452450 Г. БИРСК, УЛ. БАЛЕЗИНА, 24","Газизова Диана Рифовна","8 (34784) 4-61-77","8 (34784) 4-61-77",+7(34784)4-61-77,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","город Бирск и Бирский район Республики Башкортостан"
2,18,"Благовещенское МОСП","453430 Г. БЛАГОВЕЩЕНСК, УЛ. СОВЕТСКАЯ, Д.28","Рахимкулова Вера Александровна","8 (34766) 2-22-41","8 (34766) 2-22-41",+7(34766)2-14-34,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","город Благовещенск и Благовещенский район Республики Башкортостан"
2,19,"Давлекановское МОСП","453400, г.Давлеканово, ул.К.Маркса, д.39","Прошин Юрий Александрович","8 (34768) 3-10-02","(34768) 3-02-21",+7(34768)3-10-02,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","город Давлеканово и Давлекановский район Республики Башкортостан"
2,20,"Дюртюлинское МОСП","452320, г.Дюртюли, пер.Марии Якутовой, д.9","Гайнетдинов Салават Ханафиевич","8 (34787) 3-20-65","(34787) 3-20-54",+7(34787)3-20-65,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","город Дюртюли и Дюртюлинский район Республики Башкортостан"
2,21,"Ишимбайское МОСП","453200 Г. ИШИМБАЙ, УЛ. СТАХАНОВСКАЯ, Д.63","Таратунина Юлия Александровна","8 (34794) 4-23-85","(34794) 4-23-85",+7(34794)4-23-85,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Ишимбай и Ишимбайский район Республики Башкортостан"
2,22,"Мелеузовское МОСП","453850 Г. МЕЛЕУЗ, УЛ. ВОРОВСКОГО,10","Ахметдинов Азат Маратович","8 (34764) 3-20-33","(34764) 3-20-33",+7(34764)3-20-33,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Мелеуз и Мелеузовский район Республики Башкортостан"
2,23,"Нефтекамское МОСП","452680 Г. НЕФТЕКАМСК, УЛ. НЕФТЯНИКОВ, 25 «А»","Насыров Рустам Юнерович","8 (34783) 4-52-65","(34783) 4-68-51",+7(34783)4-52-65,+7(34783)4-34-53,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Нефтекамск и Краснокамский район Республики Башкортостан"
2,24,"Стерлитамакский ГОСП","453103, г.Стерлитамак, ул.Дружбы, д.3","Черномырдин Евгений Алексеевич","8 (3473) 20-63-73","(3473) 20-63-73",+7(3473)20-63-73,+7(3473)20-63-73,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Город Стерлитамак Республики Башкортостан"
2,25,"Туймазинское МОСП","452750 Г. ТУЙМАЗЫ, УЛ. ГАГАРИНА, 38","Латыпова Ирина Зуфаровна","8 (34782) 7-13-61","(34782) 7-13-61",+7(34782)7-13-61,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","город Туймазы и Туймазинский район Республики Башкортостан"
2,26,"Учалинское МОСП","453700 Г. УЧАЛЫ, УЛ. КАРЛА МАРКСА,Д.1","Алтынбаева Гузель Зинуровна","8 (34791) 6-26-97","(34791) 6-26-97",+7(34791)6-26-97,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","город Учалы и Учалинский район Республики Башкортостан"
2,27,"Янаульское МОСП","452800, Россия, Респ. Башкортостан, , г. Янаул, , ул. Советская, д. 21, , ","Гилязев Алмаз Зифатович","8 (34760) 5-50-85","(34760) 5-50-85",+7(34760)5-50-85,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","город Янаул и Янаульский район Республики Башкортостан"
2,28,"Абзелиловское РОСП","453620 С. АСКАРОВО, УЛ. КОММУНИСТИЧЕСКАЯ, 8 А","Хасанова Айгуль Ирековна","8 (34772) 2-04-51","(34772) 2-04-51",+7(34772)2-04-51,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Абзелиловский район Республики Башкортостан"
2,29,"Альшеевское РОСП"," 452120, Россия, Республика Башкортостан, Альшеевский район, , с. Раевка, Ленина, 90, , ","Хабибуллин Денис Рифатович","8 (34754) 3-07-91","(34754) 3-01-53 ",+7(34754)3-07-91,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Альшеевский район Республики Башкортостан"
2,30,"Архангельское РОСП","453030, Россия, Респ. Башкортостан, Архангельский р-н, Архангельский с/с, , ул. Ленина, д. 8, , ","Бардуков Сергей Александрович","8 (34774) 2-11-71","(34774) 2-11-71",+7(34774)2-11-71,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Архангельский район Республики Башкортостан"
2,31,"Аскинское РОСП","452880 С. АСКИНО, УЛ. СОВЕТСКАЯ, 5","Гареева Венера Наильевна","8 (34771) 2-19-46","(34771) 2-19-46 ",+7(34771)2-19-46,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Аскинский район Республики Башкортостан"
2,32,"Аургазинское РОСП","453480, с.Толбазы, ул.Ленина, д.109","Баязитов Эдуард Рамилевич","(34745) 2-11-34","(34745) 2-11-34 ",+7(34745)2-11-34,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Аургазинский район Республики Башкортостан"
2,33,"Бакалинское РОСП","452650 С. БАКАЛЫ, УЛ. ЛЕНИНА, 110","Данилов Олег Анатольевич","8 (34742) 3-26-56","(34742) 2-26-56",+7(34742)3-26-56,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Бакалинский район Республики Башкортостан"
2,34,"Балтачевское РОСП","452980 С. СТАРО БАЛТАЧЕВО, УЛ. СОВЕТСКАЯ, 31","Ахкамов Алмаз Рафхатович","8 (34753) 2-21-88","(34753) 2-19-94",+7(34753)2-21-88,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Балтачевский район Республики Башкортостан"
2,35,"Белокатайское РОСП","452580 С. НОВОБЕЛОКАТАЙ, УЛ. СОВЕТСКАЯ, 107","Амирханова Ильвира Рауфатовна","8 (34750) 2-10-98","(34750) 2-24-35",+7(34750)2-10-98,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Белокатайский район Республики Башкортостан"
38,909,"Отдел государственной службы и кадров",,"Галичина Анна Анатольевна",,,,,,
2,36,"Бижбулякское РОСП","452040, Россия, Республика Башкортостан, Бижбулякский район, ,  село Бижбуляк, ул. Советская, д. 29, , ","Харрасов Гамиль Галиевич","8 (34743) 2-11-79","(34743) 2-28-29 ",+7(34743)2-11-79,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Бижбулякский район Республики Башкортостан"
2,37,"Благоварское РОСП","452740, Россия, Респ. Башкортостан, Благоварский р-н, , с. Языково, ул. Ленина, д. 12, , ","Гизетдинов Руслан Маратович","8 (34747) 2-20-44","(34747) 2-25-80",+7(34747)2-20-44,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Благоварский район Республики Башкортостан"
2,38,"Буздякское РОСП","452710 С. БУЗДЯК, УЛ. ГАГАРИНА, 8/1","Рахимкулова Айгуль Зуфаровна","8 (34773) 3-36-22","(273) 3-36-22",+7(34773)3-36-22,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Буздякский район Республики Башкортостан"
2,39,"Бураевское РОСП","452960 С. БУРАЕВО, УЛ. ЛЕНИНА, 74","Зайруллина Валерия Евгеньевна","(34756) 2-17-74 ","(34756) 2-17-74",+7(34756)2-17-74,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Бураевский район Республики Башкортостан"
2,40,"Бурзянское РОСП","453580, Россия, Респ. Башкортостан, , , с. Старосубхангулово, ул. Уральская, 3, , ","Санчаева Ляйсан Канзафаровна","8 (34755) 3-63-55","(34755) 3-63-55",+7(34755)3-63-55,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Бурзянский район Республики Башкортостан"
2,41,"Гафурийское РОСП","453050, с.Красноусольск, ул.Коммунистическая, д.18",,"8 (34740) 2-13-57","(34740) 2-13-57 ",+7(34740)2-13-57,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Гафурийский район Республики Башкортостан"
2,42,"ОСП по Дуванскому и Кигинскому районам","452530, с.Месягутово, ул.И.Усова, д.18",,"8 (34798) 3-20-25","(34798) 3-20-25 ",+7(34798)3-20-15,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Дуванский и Кигинский районы Республики Башкортостан"
66,911,"Отдел информатизации и обеспечения информационной безопасности",,,,,,,,
2,43,"Ермекеевское РОСП","452190 С. ЕРМЕКЕЕВО, УЛ. ЛЕНИНА, 7","Гумерова Альбина Шамиловна","8 (34741) 2-22-24","(34741)2-22-24 ",+7(34741)2-22-24,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Ермекеевский район Республики Башкортостан"
2,44,"Зианчуринское РОСП","453380, , Республика Башкортостан, , , с. Исянгулово, Переулок Блюхера, 9, , ","Ахметов Руслан Махмутович","8 (34785) 2-13-69","(34785) 2-13-69",+7(34785)2-13-69,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Зианчуринский район Республики Башкортостан"
2,45,"Зилаирское РОСП","453680 С. ЗИЛАИР, УЛ. ЛЕНИНА, 113","Халитова Эльвина Рузильевна","8 (34752) 2-12-43","(34752) 2-21-02",+7(34752)2-12-43,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Зилаирcкий район Республики Башкортостан"
2,46,"Иглинское РОСП","452410 С. ИГЛИНО, УЛ. ЛЕНИНА, 79","Ибрагимов Фанис Фаритович","(34795) 2-24-40 ","(34795) 2-24-40",+7(34795)2-24-40,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Иглинский район Республики Башкортостан"
2,47,"Илишевское РОСП","452260, РБ, ИЛИШЕВСКИЙ РАЙОН,С. ВЕРХНЕЯРКЕЕВО, УЛ. СОВЕТСКАЯ, 37","Назаров Кавказ Альярович","8 (34762) 5-19-92","(34762) 5-19-92",+7(34762)5-19-92,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Илишевский район Республики Башкортостан"
2,48,"Калтасинское РОСП","452860, Россия, Респ. Башкортостан, , , с. Калтасы, ул. К.Маркса, д. 59, , ","Хизбуллин Руслан Флоритович","8 (34779) 4-19-81","(34779) 4-19-81",+7(34779)4-19-81,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Калтасинский район Республики Башкортостан"
2,49,"Караидельское РОСП","452360 С. КАРАИДЕЛЬ, УЛ. КАЛИНИНА, 4","Якупов Салават Ахметкамалович","8 (34744) 2-10-91","(34744) 2-10-91",+7(34744)2-10-91,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Караидельский район Республики Башкортостан"
16,918,"Отдел по работе с обращениями граждан и организаций",,"Колюдаева Мария Игоревна",,,,,,
2,50,"Кармаскалинское РОСП","453020,  с.Кармаскалы, ул.Гафури,  д.22/2","Шарипкулова Нурзиля Нурфаязовна","(34765) 2-26-80","(34765) 2-26-80",+7(34765)2-26-80,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Кармаскалинский район Республики Башкортостан"
2,52,"Кугарчинское РОСП","453331, Россия, Респ. Башкортостан, Кугарчинский р-н, , с. Мраково, ул. Ленина, д. 17, , ","Исмагилов Фидан Лукманович","8 (34789) 2-20-98","(34789) 2-20-93 ",+7(34789)2-20-98,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Кугарчинский район Республики Башкортостан"
2,53,"Кушнаренковское РОСП","452230, Россия, Респ. Башкортостан, , , с. Кушнаренково, ул. Рабочая, 1, , ","Гилязев Адип Ахняфович","8 (34780) 5-80-34","(34780) 5-73-09 ",+7(34780)5-80-34,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Кушнаренковский район Республики Башкортостан"
2,55,"Мечетлинское РОСП","452550 С. БОЛЬШЕУСТИКИНСКОЕ, УЛ. СОВЕТСКАЯ, 25","Шаяхметов Ильдар Ракипович","8 (34770) 2-02-82","(34770) 2-02-82",+7(34770)2-02-82,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Мечетлинский район Республики Башкортостан"
2,56,"Мишкинское РОСП",", , Республика Башкортостан, Мишкинский район, , с. Мишкино, ул. Мира, 6, , ","Ахметова Виктория Аликовна","(34749) 2-12-27","(34749) 2-12-27",+7(34749)2-12-27,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Мишкинский район Республики Башкортостан"
2,57,"Миякинское РОСП","452080 С. КИРГИЗ - МИЯКИ, УЛ. ГУБАЙДУЛЛИНА, 108","Вильданова Олеся Андреевна","8 (34788) 2-22-62","(34788) 2-22-62 ",+7(34788)2-22-62,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Миякинский район Республики Башкортостан"
2,58,"Нуримановское РОСП","452440 С. КРАСНАЯ ГОРКА, УЛ. ПИОНЕРСКАЯ, 8","Говорко Антон Викторович","8 (34776) 2-29-74","(34776) 2-29-74",+7(34776)2-29-74,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Нуримановский район Республики Башкортостан"
66,912,"Отдел собственной безопасности",,,,,,,,
2,59,"Салаватское РОСП",", , Республика Башкортостан, Саловатский район, , с. Малояз, ул. Советская, 63, , ","Зарафутдинова Миляуша Идрисовна","8 (34777) 2-14-82","(34777) 2-14-82",+7(34777)2-14-82,," Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Салаватский район Республики Башкортостан"
2,60,"Стерлибашевское РОСП","453180, с.Стерлибашево, ул.К.Маркса, д.91","Аминов Урал Минихазиевич","8 (34739) 2-21-79","(34739) 2-21-79",+7(34739)2-21-79,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Стерлибашевский район Республики Башкортостан"
2,61,"Татышлинское РОСП","452830, , Республика Башкортостан, , , село Татышлы, Ленина, 79, , ","Салимов Ильнур Минисламович","8 (34739) 2-21-79","(34778) 2-14-86",+7(34778)2-21-79,,"Нач. отд. - вторник с 09 до 13 час., четверг с 13 до 18 час.","Татышлинский район Республики Башкортостан"
